PA/gchi+	Very
nen'godwaaswi	six
eko-naaning	fifth
eko-n'godwaaching	sixth
eko-niizhwaaching	seventh
eko-nswaaching	eighth
eko-zhaangching	ninth
eko-mdaaching	tenth
giishpin	if
giishpine	if
gye	and
mii'sh	so
shi	and
gjiishpin	if
jibwaa	before
wis	scat
yaa	oh
yoonh	oh
zegaatkamik	frightful
taataahaa	holy
aaw	well
aayaa	please
ambe	come on
Mbingo	Bingo
nahaaw	okay
ggwaansagaadkamik	terrible
giisaach	unfortunate
giiwsaatkamik	unfortunate
goopdaadkamik	deplorable
gwekwaatkamik	certainly
haaw	okay
hanshge	go
hawn	fire
kaa	no
kaawiin	no
kawe	wait
maajii	jeez
maamkaadkamik	amazing
mba	there
memdage	ever
memdage	ever
memoon	sleep
men'saadkamik	shame
miigwech	thank you
mnanish	good
mnik	enough
mooshk'om	call
moowich	crap
naanaa	careful
naasanaa	give up
nagsha	look
ngoji	shoo!   
niinaa	well
niisaadkamik	unfortunate
nishke	look
oonh	oh
ooshtibi	then
shtaahaa	holy
shtaataahaa	holy
sigam	attack
taayaa	smokes
waataawaa	what
washtibi	ooshtibi
weyiiban	certainly
wii	darn
bni	do
boozhoo	hello
dga	come on
egaach	easy
endgo	isn’t
engaach	slow
enh	yes
eyoonh	oh
gaawiin	no
gchi-gaanwapii	late
gdoombiigis	shut up
geget	true
gegeti	true
aambe	leave
aanii	hi
aanii	well
aaniin	aanii
aaniinde	naturally
aaniish	hey
aashiij-maajii	concern
aashwii-zhmaajii	concern
aasnaa	attention
aawnsa	initiate
ambegish	wish
baapnizwaagan	surprise
bekaa	pause
biidii	chick
biingeyaadkamik	concern
bna	encourage
bnagsha	observe
na+Interj	silence
ni+Interj	silence
aa	ok
aakaa	uniqueness
aanshge	proceed
bna	look
dewe	unknown.word
ehenh	affirmation
gewe	addition
gsha	impatience
kaa	denial
kogaan	depart
manj	uncertainty
minj	uncertainty
mninaak	moderation
naa	EMPH
naa	say.to
naash	impatience
nangna	oh
nji	cause
nmanj	uncertainty
nnaash	impatience
se	disgust
shwii	contrast
was	dismiss
na+Ipc	question
sa+Ipc	conclusion
go+Ipc	indeed
gwa+Ipc	indeed
dnawa	category
gaawn-gegoon	nothing
gchi-gegoo	significance
gegoo	any
gegoon	any
gewii	inclusion
iw	that
maanda	this
nanda	these
ni-wediin	those
niw	those
niwedi	those
niwi	those
niwin	those
nonda	he
ow	this
waagnen	what
wagdagwen	something
wegdogwen	whatever
wegnen	what
wegnesh	which
wegwen	something
wegwenh	whoever
wene	what
wenen	what
wenesh	who
wi	that
dwa	kind
aw	this
baaba	this
dnawa	kind
dwa	kind
gegii	you
gegiin	you
gegiinwaa	you
gegiinwi	we
gegiinwin	we
genii	I
geniin	I
geniinwi	us
geniinwin	us
gewii	he
gewiin	he
gii	you
giin	you
giinwaa	you
giinwi	we
giinwin	we
giw	they
giwedi	those
giwi	they
giwik	they
gonda	these
gondak	these
gow	these
maaba	this
nanda	he
ni-wediin	those
nii	I
niin	I
niinii	I
niinwi	we
niw	he
niwedi	those
niwi	he
niwin	he
nonda	he
wa	it
waya	anyone
wedi	that
wegnesh	who
wegwen	whoever
wegwenh	whoever
wene	who
wenen	who
wenesh	who
wii	it
wiin	it
wiinwaa	they
wiya	someone
gkina	all
niibna	many
dso-dba'gne	time
aadsin	stranded
aakwaadat	dangerous
aabdagin	grow
aabdat	used
aabdewebde	noise
aabdewesin	ring
aabdwewe	on
aabdwewebde	noise
aabdwewesin	ring
aabjibde	move
aaboodaasin	flip
aaboodse	flip
aaboojbagaasin	flip
aabta-bboon	new year’s
aabta-niibin	july
aabtaa-dbikat	midnight
aabtawdaakyaa	halfway
Aabtawewan	Thursday
Aabtawyi'iiwan	Wednesday
aabtoobii	half
aabtooshkne	half
aabwaa	warm
aabwaakdin	thaw
aabwaate	mild
aabziiwaabminaagot	improve
aabziiwnaagot	better
aabziiyaan'kot	clear
aabziiyaan'kwat	clear
aachdegaade	partitioned
aakpogot	fierce
aakwaadendaagot	dangerous
aakwaakde	dry
aan'kese	passed
aan'koobde	tied
aan'koopde	tied
aan'koosin	joined
aandaanzhese	change
aandse	change
aanjbide	change
aanmaatese	drama
aanmat	dire
aanmiweb'ogot	tossed
aansisin	stale
aanwendaagot	distasteful
aapdaande	stained
aapdagoode	unreachable
aapdwewe	malfunctioning
aapjibde	irretrievable
aasaabde	blinding
aashtawse	contagious
aashtema	crossroad
aaspide	bandaged
aassin	leaning
aaswaaksin	supported
aate	extinguished
aatemogot	dissipated
aatese	dark
aateyaande	faded
aatwaajiisin	upturned
aatwaasin	supine
aawan	certain
aawendaagot	believed
aayaan'koobde	redirect
aazhdebde	crossing
aazhdema	intersecting
aazhgema	intersecting
aazhgidse	overturned
aazhgidsin	supine
aazhgijbide	backflipped
baabgose	detached
baabgwaasin	blown
baabgwegaasin	ripped
baabiiyepo	flurries
baabiiyewaaboode	floating
baabsaabiisin	taut
baabsisin	fitted
baachgamde	boiling
baagmide	warmed
baagsin	swollen
baagsin	grounded
baagwaa	shallow
baakaan'kot	parting
baakiigsin	open
baakkamgise	shaken
Baakwan	Easter
baapaagaakbii	brimming
baapaagaakshkine	full
baapaashkde	crackling
baapnakmigat	lively
baapnwewe	boisterous
baasaabiishkaa	cracked
baasde	split
baashdebii	overflowing
baashjibde	overshot
baashjigmide	boiling
baashkaabgonii	blooming
baashkbiisaa	bursting
baashkdagoode	tumbled
baashkdebii	overflowed
baashkjiide	exploded
baashkjiishkaa	burst
baashkjiisin	broken
baashktaawngaa	dusty
baashkwewe	sounded
baaskaa	cracked
baaskoode	cracked
baataasin	stuck
baataawaakdin	frozen
baate	dry
baatiinat	plentiful
bangiishengat	scarce
bangiishengat	scarce
bashkbiite	lukewarm
bbaamendaagot	matters
bbaatiinat	numerous
bbagaa	thin
bbagiigat	thin
bbaskaaknese	flashing
bbiiwaa	tiny
bboon	winter
bdakaakse	upright
bdakde	erect
bdakshkaa	deflected
bdaksin	erect
bdangbide	turned
bdikwewe	thumping
bedaanzhe	dim
bedaaskone	dim
bedwewe	quiet
bejbide	slow
bejiiwiimgat	weak
bengde	dried
bengkiide	dried
bengwaakdin	frozen
bengwaapkisin	air-dried
bepeshaaban	dawning
bepeshaabiigmo	flashing
beshkbiigat	striped
beshwaabminaagot	close
beshwaabminaagwat	close
beshwat	near
beshwendaagot	imminent
beshwinaagwat	near
bezhgon	same
bgamaanmat	arriving
bgamat	storm
bgambide	arrive
bgambiisaa	rain
bgambiisaan	rain
bgamjiwan	flow
bgamkande	crowd
bgampo	snow
bgamwewebde	noisy
bgandaanmat	wind
bgandat	backward
bgashknat	rotten
bgaskaasin	slapped
bgaskiigaasin	slapped
bgasksin	splat
bgizhegoode	loose
bgonede	burnt
bgoneyaa	hole
bgoneyaa	hole
bgoneyaabkaa	cavity
bgoneyaabkaa	cavity
bgoneyaakde	burnt
bgoneyaakde	burnt
biibaagdaandim	auction
biidaabminaagot	approaching
biidaasmisin	facing
biidwewebde	noisy
biigshkaa	break
biigwaaboode	broken
biigwaakde	burnt
biijbide	coming
biijmaagot	smell
biijmaagwat	smell
biijnesin	scent
biijpogot	detectable
biimaa	crooked
biimaakot	crooked
biimdamo	winding
biimgoode	crookedly
biimsin	askew
biimskobde	rotate
biimskojwan	whirlpool
biimskokaa	rotate
biimskoshkaa	spin
biimskwaanmat	circular
biimskwaasin	spin
biimtagaayaa	twisted
biimtagnigaa	twisted
biin'kamgat	clean
biinaabminaagot	clean
biinaagmi	pure
biinaatese	clear
biinat	clean
biindgajgaade	introduced
biindgebde	flying
biindgeknde	rush
biindgeyaashkaa	incoming
biindkijiisin	inserted
biindnaksin	inserted
biinjbii	waterlogged
biinjiigsin	tucked
biinnaagot	clean
biinnaagwat	clean
biinsagaa	clean
biinsipgot	bland
biinte	clean
biisaa	small
biisaawngaa	fine
biisbiisaa	drizzle
biisbiisaan	drizzle
biitewaagmi	foamy
biitewaagmise	foam
biitgin	regrowth
biitoogin	regrowth
biitoogwaade	lined
biitookde	sliced
biitoowaabkishkaa	layered
biitoowegshkaa	layered
biitooyaa	layered
biiwaabkwaabiigat	strong
biiwaabkwegat	ironlike
biiwepo	flurries
biiweshkaa	fray
bijiide	warm
bisgide	warm
bka'gaade	disconnected
bkaakde	burnt
bkaanat	different
bkejwan	branch
bkema	divide
bkidaabiigsin	stretched
bkidaakgoode	overhang
bkidaaksin	stretched
bkidsin	lean
bkijjiwan	overflow
bkobiibde	plunge
bkobiise	fall
bkobiiyaabii	extend
bkogoode	bunch
bkojiisin	heap
bkosgaa	hump
bkoshkaa	detached
bkwaa	bump
bkwebiigmi	muddy
bkwene	hazy
bkweneyaa	fogged
bkweneyaabkat	fogged
bkweneyaabkise	fogging
bkweneyaagmi	cloudy
bkweneyaate	hazy
bkweshkaa	chipped
bkwesin	chipped
bkweyaaksin	chip
bmaabii	extended
bmaaboode	floating
bmaadat	alive
bmaakoon'gisin	extending
bmaaksin	extended
bmaangde	lying
bmaasin	sailing
bmadnaa	running
bmagoode	toppled
bmakmigaa	stretch
bmi-naabii	running
bmibde	flying
bmidaakoon'gisin	crosswise
bmideyaabkat	greasy
bmideyiigat	greasy
bmijwan	flowing
bmise	spreading
bmisgaa	floors
bmishkaa	detached
bmiwjigaade	passed
bmwewebde	passing
bnaabminaagot	fading
bnaadat	spoiled
bnaadsin	spoiled
bnaasin	blown
bnangwaabiisin	slack
bnga'an	throbbing
bngan	quiet
bngisin	falling
bnibgaa	falling
bnise	falling
bniskwaabiigse	unrolling
bniskwaabiisin	uncoiled
bnwewesin	fading
boodaakwese	falling
boodwaade	fired
bookshkaa	broken
bookwaasin	broken
boon'kiise	darting
boon'kiiyaabte	downward
boon'kiiyaanmat	downward
boonaanmat	stopped
boonbiisaa	stopped
boonpo	stopped
boontaamgat	stopped
booskaa	hollow
booskaabkishkaa	dented
booskat	dented
booskdinaa	valley
booz'iwemgat	stinging
bsadnaa	valley
bsakmigaa	depression
bsan'kide	burning
bshagiish-dbikat	dark
bshagiishbikat	dark
bshagiishkbiikte	dark
bshagiishkbikat	dark
bshakiish-dbikat	dark
bshanzhegewaasin	whipping
bshigendaagot	likeable
bshigiish-dbikat	dark
bshkodnaa	barren
bshkoshkaa	shedding
bskaabaasin	returning
bskaabbide	returning
bskaaknese	sparking
bskane	igniting
bskiigsin	folded
bskikaa	bent
bswepgot	permeating
btaaksin	bumping
btangbide	turned
bzaanaagmisin	calm
bzaanaakwaa	still
bzaante	quiet
bzagde	thick
bzagjiishkwigaa	sticky
bzagsagaa	sticky
bzagwaa	sticky
bzagwegat	sticky
bzhishgokmigaa	empty
bzhishgon	empty
bzhishgosin	empty
bzhishgwaakte	empty
bzogshkaa	sticky
chigaade	placed
daabshkaa	shrink
daadkogwaade	sewn
daangaabiisin	touching
daangkiisin	touching
daangsin	touching
daashkaabkaa	cracked
daashkiigaasin	ripped
daashkkamgise	split
daashkse	split
dagaabaawe	softened
dagat	damp
dagoode	falling
dba'gesemgat	break even
dbaaksin	spooled
dbasaa	low
dbasdoondneyaa	low-heeled
dbasgoode	dangling
dbasshkaa	trimmed
dbendaagot	belonging
dbikat	nighttime
dbinwaa	sheltered
dbishkoose	anniversary
dboosko-yaa	deep
ddaaknagweyaa	short-sleeved
ddanaaskone	illuminating
ddanwewe	broadcasting
ddibewemat	coastal
dditbijiise	rolling
debaabminaagot	distant
debaabminaagwat	distant
debkwaabiigse	reaching
debse	sufficient
debtaagot	audible
debtaagwat	audible
debwemgat	truthful
debwewaashkaa	resounding
debwewe	echoing
debwewendaagot	credible
debwewesin	ringing
debwewnagat	valid
detebgwiinde	buoyant
detese	rustling
dgo	native
dgobde	departing
dgogin	growing
dgopde	entwined
dgoshnoomgat	arriving
dgosin	included
dgwaagi	autumnal
dgwaakde	combusting
diksin	curdled
dkaa	chilly
dkaabaawe	cooled
dkaabkat	frigid
dkaagmi	chilled
dkaanmat	brisk
dkaashiikmigat	celebratory
dkakmigaa	frosty
dkamaabiigsin	transverse
dkamaakse	swinging
dkamaaksin	obstructing
dkamaasin	crossing
dkate	cool
dkeyaa	temperate
dkisin	chilling
dkobde	bound
dkoojiiyaa	cropped
dkooyaa	brief
dkwaa	compact
dkwaabiigat	shortened
dkwaabiiggaadeyaa	cropped
dkwaakot	stumpy
dkwaakwat	stumpy
dkwegat	limited
dkwiindgwaanh	shallow
dkwiindmaa	shallow
dnaatesin	telecast
dnakmigat	occurring
dnide	simmering
dnwewe	sounding
dootoogan	uneven
dpaakgaa	leaking
dpaanzhe	translucent
dpaazhgaa	streaming
dpakii	germinating
dpamo	passing
dpashkaa	damp
dpibde	entering
dpigaa	permeating
dpijwan	circulating
dpwewe	heard
dpwewesin	resonating
dshin	numerous
dsigniwaagmi	tainted
dsobboon'gat	aged
dso-dba'ganet	timed
dsognagat	dated
dsoode	constrained
dwisin	fitting
dzhitaamgat	timely
dzhweyaadgaa	overflowing
ekwisin	imprinted
gaachaabiigat	slender
gaachaakot	slim
gaachaakwat	slim
gaachbiigaade	fine
gaachdebiiyaa	constricted
gaachdeyaa	narrow
gaachdeyaagmaa	straitened
gaachiigat	petite
gaachin	minimal
gaachmin'gaa	diminutive
gaachnoonyi	tiny
gaagiin'koyaa	tapered
gaakaakde	crisped
gaakdiiyeshkaa	split
gaakshkaa	torn
gaanjbiisaa	intensified
gaapaakde	charred
gaapan	fragile
gaapjiisin	shattered
gaapsin	shatter
gaashkse	separate
gaasknaabaagweshkaagemgat	dehydrate
gaaskwewe	static
gawaate	shaded
gawaatebiisin	reflective
gawaatesin	shadowed
gbaabwe	clogged
gbaakse	slammed
gbaakshkaa	closed
gbaaksin	obstructing
gbaakwigaade	sealed
gbaakwigaade	sealed
gbadin	frozen
gbishkaa	constricted
gbode	oppressive
gbojiide	roasted
gbojiishkwe	blocked
gbokbaa	enclosed
gbonesin	pervasive
gbookat	humid
gbooki-giizhgat	moist
gbooki-zhiwebat	humid
gbookiigat	damp
gbookkamgaa	damp
gbooksin	moistened
gbwaabte	smoky
gchi-miigaadim	warlike
gchi-nam'e-giizhgat	sacred
gchi-piitendaagot	valuable
gchitwaa-giizhgat	festive
gchitwaawendaagot	blessed
gchi-zhinaagot	flashy
gdaazhgaa	spilled
gdagmin'gaa	spotted
gdigmin'gise	rolled
gdigse	tipped
gdigshkaa	tumbled
gdigwaasin	toppled
gdimaagat	impoverished
gdisknakse	detached
gdiskse	separated
gechwibde	accelerated
geshwaaksin	unsecured
geshwisin	unsecured
gete-'iiwan	antique
gezbaangde	orderly
gezbinaagot	neat
gezbipde	arranged
gezbisin	organized
ggaannagweyaa	long-sleeved
ggiibaaznaagot	ridiculous
ggiibaaztaagot	absurd
ggizhebaawgat	dawn
ggwejkandiikmigat	race
ggwetaan'gamde	boiling
ggwetaan'ginde	costly
ggwetaanaagmi	delicious
ggwetaanaagnagaa	snowy
ggwetaanaaskone	luminous
ggwetaanaate	scorching
ggwetaanat	wonderful
ggwetaanbide	swift
ggwetaandama	excellent
ggwetaaniinat	plentiful
ggwetaannaagot	dramatic
ggwetaannaagwat	dramatic
ggwetaannigot	weighty
ggwetaannigwat	weighty
ggwetaanpogot	tasty
ggwetaanwewejiisin	thudded
ggwetaazhiinat	abundant
giibbide	deviate
giibse	fallen
giigoonmaagot	fishy
giikaandiikmigat	dispute
giikginde	inflated
giikiiji-yaa	painful
giinaa	sharp
giinboode	honed
giipaa	rugged
giishkaabkaa	cliff
giishkiindgwaanh	plunged
giishkkaa	ripped
giishknakat	severed
giitaagoode	circular
giiwaajbide	unsynchronized
giiwsaaji-yaa	loss
giiwtaawaabiisin	encircling
giizhde	cooked
giizhgaate	luminous
giizhgat	daylight
giizhgwaande	azure
giizhiitaamgat	completed
giizhiitaawsin	ready
giizhookmigaa	heated
giizhoonaamde	muggy
giizhoowaa	heated
giizhoowaagmi	heated
giizhoowaanmat	heated
Gimaa-giizhgat	Epiphany
Gimaakwe-giizhgat	Celebratory
giniiwaande	pink
gkaawngwe	dusty
gkendaagot	apparent
gkide	concealed
gmiwan	precipitate
gmiwnooswan	drizzle
gnaa	elongated
gnaabiigat	extended
gnaajwan	attractive
gnaakot	elongated
gnibaakde	combust
gnibaakwaa	flourish
gnibbagaa	sprout
gnibgin	accelerate
gnibse	elapse
gnibshkaa	flourish
gnwiindmaa	profound
gnookmigaa	extended
gnooyaa	elongated
gnwaa	extended
gnwaabiigat	extended
gnwaabiiggaadeyaa	long-legged
gnwaabiignikeyaa	long-armed
gnwaakot	elongated
gnwegat	extended
gnwiindgwaanh	redirect
gnwiindmaa	redirect
goke	adhere
gokzigaade	bonded
goode	suspend
goon'kaa	snowy
gosesin	ajar
gpagaa	dense
gpagaawngwe	dusty
gpagde	thicken
gpaggwaade	padded
gpagiigat	dense
gpagjiishkwe	muddy
gpagoo-yaa	dense
gpagsin	layered
gshkaabka'gaade	secured
gshkiiwaa	sealed
gshkiiwaakwigaade	locked
gshkiiwaan'kot	opaque
gshkiiwsin	fastened
gshkweyaasin	curveball
gsinaa	chilly
gtaamgot	stormy
gtaamgwaanmat	windy
gtaamgwewe	noisy
gtigaade	planted
gtigbide	tumble
gtigmin'gise	roll
gtigse	capsize
gtigshkaa	capsize
gtigwaasin	toppled
gwaabaawe	swept
gwaabde	docked
gwaabkide	stuck
gwaagon	filthy
gwaagsin	moldy
gwaakse	topple
gwaaksin	cling
gwaan'kodyeyaa	rounded
gwaansagaakginde	exorbitant
gwaashkndagoode	dislodge
gwaashkwebiise	splatter
gwaashkweyaasin	deflect
gwaasin	toppled
gwaawaashkaa	arrive
gwaawaasin	land
gwekaande	transform
gwekaanmat	veering
gwekbide	rotate
gweki-zhiwebat	shift
gweknaagot	transform
gwekse	modify
gweksin	inverted
gwiidaaban	clear
gwiigshkweweyaanmat	whistle
gwiinde	buoyant
gwiinwaabminaagot	vanish
gwiinwizhinaagot	uncertain
gwiishkshweweyaanmat	whistle
gwiishkte	smoked
gwiishktemaagot	smoky
gwiishktewpogot	smoky
gwise	topple
gzaabii	submerge
gzaabii	submerge
gzhaabkide	scalding
gzhaagmide	scalding
gzhaate	sunny
gzhakmigde	warm
gzhide	heated
gzhiibde	speed
gzhiigde	heated
gzhiijwan	rapid
gzhiiyaanzhe	luminous
gzhiiyaaskone	luminous
gzhinaamde	sweltering
gzigon	weighty
gzigwan	weighty
gzwaabii	submerge
jaagaakde	incinerate
jaagaasin	depleted
jaagbiise	deplete
jaagboode	eroded
jaagde	scorched
jaagiiwiimgat	exhausted
jaagse	deplete
jaagzigaade	scorched
jaangaakshkoode	tilted
jaangaaksin	elevated
jaanmakmigat	frantic
jaanmiiwat	occupied
Jibwesin	Indigenous
jidkiisin	inverted
Jiibaatgo-giizhgat	Friday
jiibse	quiver
jiibyamaagot	ethereal
jiibyewesin	knell
jiingwe	thunder
jiisgiizhgat	festival
jiishaaboode	eroded
jiitnaakwegat	rigid
jiizhkande	dispersed
kaadenswan	stagnant
kajgaa	umbrageous
kajgaakweyaa	wooded
kajgaate	umbrageous
kajgaatesin	shaded
kajgibiisin	mirrored
kajgibiiyaa	dappled
kajgisin	waning
kakdejiizi	cubic
kakdeyaa	cubic
kawaakwaa	wooded
kawaate	umbrageous
kawaatebiisin	mirrored
kawaatesin	shaded
kendaagot	apparent
kidoo'nagat	proclaimed
kidoomgat	expressed
kiikaade	dusted
kinwaajbiigaade	annotated
kinwaajbiigaade	annotated
kobiiyaa	accumulated
kodaabiigse	hoisted
kon'gaade	displaced
koobii	measured
kooksin	stacked
kooshkne	measured
kosin	accumulated
kwaa	dimensioned
kwaabde	traveled
kwaabiigat	measured
kwaakot	measured
kwaamo	measured
kwaasin	dispersed
kwaawngisin	accumulated
kwiindgwaanh	measured
maadaasin	billowed
maadkamgat	commenced
maadnokii	activated
maajaamgat	departed
maajbiisaa	drizzled
maajbiisaan	drizzled
maajiibde	embarked
maajiibiisaa	drizzled
maajiigin	sprouted
maajiiknde	scattered
maajiishkaa	expanded
maajiishkaachgaade	initiated
maajiiwewebde	departed
maajiiyaaboode	drifted
maajiiyaasin	drifted
maajiiyebde	departed
maajjiwan	flowed
maajtaamgat	commenced
maanaadat	deformed
maanaadkamgaa	rugged
maanaadkonese	misfired
maanaajpogot	unpalatable
maanaazaabminaagot	unsightly
maanaaznaagot	unsightly
maandaa-zhiwebat	wonder
maangaashkaa	turbulent
maangte	dispersed
maaskaakmigat	melee
maawndooshkbiiyaa	boggy
maawnjise	converged
mbaa	elevated
mbaabiignigaade	hoisted
mbaabte	billowed
mbaasin	billowed
mbaazmaagot	fetid
mbagmide	foamed
mbagnde	inflated
mbakne	ignited
mbazaanwan	market
mbazhwewesin	ringing
mbibde	ascended
mbiigwewe	loud
mbiigwewebde	loud
mbiigweweyaasin	loud
nbiishkaagmi	diluted
mbijiide	leavened
mbijiisin	leavened
mbingoon'wan	gaming
mbishkaa	ascended
mbisin	leavened
mchaa	enlarged
mchiigat	voluminous
mchisin	exposed
mdaabiibde	traveled
mdebde	audible
mdesgisin	thump
mdeshkaa	crack
mdewe	crackle
mdewesin	ring
mdookat	humid
mdooksin	moisten
mdookte	musty
mdwebde	audible
mdwejiisin	thud
mdwejwan	babble
mdwese	chime
mdwesgisin	thump
mdweshkaa	creak
mdwesin	chime
mdwewaakdin	snap
mdwewaashkaa	roar
mdwewe	crackle
mdwewesin	ring
mdwezgedim	celebration
megyaakaa	forest
megyaakaa	forest
mgokmigaa	hill
mgokmigsin	hills
miikse	match
miinaande	blue
miinwan	yield
miiseshkaa	wear
miishaatesin	blurry
miishkokaa	abundant
miishkoonskaa	verdant
miishkoonswaande	green
mkadeke-giizhgat	holy
mkadewaa	dark
mkadewaabkat	sooty
mkadewaan'kot	gloomy
mkadeyaa	ebony
mkomiibiisaa	pellet
mkomiibiisaan	pellet
mkomiidamat	slippery
mkomiiwaagmi	chilled
mkomiiwan	frosted
mkomnaanwan	freeze
mmaachdemgat	broad
mmaadaasin	flutter
mmaandaa-zhiwebat	wonder
mmaaskaa	slide
mnaabaawe	drenched
mnaabminaagwat	pretty
mnaagmaagot	reek
mnaagmi	delicious
mnaanmat	airy
mnabiiyaa	calm
mnade	ready
mnade	ready
mnagnde	affordable
mnajwan	stream
mnamat	smooth
mnamat	smooth
mnanigkwaa	fit
mnegsin	flat
mneshkaa	essential
mngaabkat	expand
mngadebiiyaa	broad
mngadeyaa	broad
mngagmaa	enlarge
mngijiimnagat	bulky
mngimnagaa	massive
mngimnagat	massive
mniiwan	infected
mnjimsin	fixed
mno-giizhgat	fair
mno-piichpogot	balanced
mno-piitaagmi	balanced
mno-piitaagmide	warm
mno-piitaapkide	warm
mno-zhiwebat	sunny
mno-zhiyaamgat	comfort
mnobde	operate
mnogin	flourish
mnokbaa	leafy
mnokmigaa	fertile
mnomaagot	fragrant
mnomaate	aromatic
mnonaagot	healthy
mnookmi	vernal
mnopgot	savory
mnosin	situated
mnotaagot	melodic
mnwaabaawe	drenched
mnwaabdat	convenient
mnwaagmi	delicious
mnwaanmat	airy
mnwaatese	captivating
mnwegsin	flat
mnwendaagot	pleasant
moodyikaa	plenty
mookbiise	rise
mookse	rise
mooshk'an	redirect
mooshk'an	overflow
mooshkne	brim
mooshknebii	brim
mooshkneyaatesin	enlarge
mshiiwan	wither
mshkawaa	firm
mshkawaagkamgidin	solidified
mshkawaagmi	potent
mshkawaakdin	frozen
mshkawaakot	sturdy
mshkawaakwegat	resilient
mshkawde	tempered
mshkawdin	frozen
mshkawjiiyaa	solid
mshkawjiizi	solid
mshkawkamgaa	compact
mshkawmin'gaa	dense
mshkawse	firmly
mshkawsin	cemented
mshkawtagat	durable
mshkawyaa	rigid
mshkikiiwaagmi	healing
mshkikiiwan	therapeutic
mskobgonii	floral
mskobiikot	crimson
mskokmigaa	rusty
mskwaa	scarlet
mskwaaban	blazing
mskwaabkide	glowing
mskwaan'kot	ruby
mskwaande	tinted
mskwaanzhe	illuminated
mskwaanzhese	signal
mskwegat	crimson
mskwiiwaabiigat	gory
mskwiiwaakot	stained
mskwiiwan	bleeding
mskwiiwegat	stained
mskon'kisin	scorching
mtakmigaa	barren
mtigoonskaa	saplings
myaanaadat	tempting
myaawsin	erect
myagnaagot	odd
mzhakot	sunny
mzhiikde	severed
mzhikiise	settled
mzinaade	captured
mzinaatese	broadcast
mzinaatesin	projected
mzinsin	stamped
mziwete	open
n'gaabde	halted
n'gide	thaw
n'giigdin	icy
n'gikwinaagot	flimsy
n'go'gaade	entombed
ngonaagot	evanesce
n'gwa'gaade	entombed
ngwaabminaagot	faded
n'gwaagne	snowed
n'gwaagneyaasin	drifted
n'gwaan'kot	overcast
n'kewebde	obscured
n'kwema	merge
n'kwetgweyaa	confluence
n'kweyaaksin	collide
naa'chigaade	mend
naabdat	utilized
naabdin	crunchy
naabdoosknegeyaate	enchanting
naabii	aligned
naabiisin	arranged
naabminaagot	foreboding
naabsin	attached
naagot	evident
naagshi	dusk
naajgaade	retrieved
naakde	charred
naakshkoode	warped
naamkamgokaade	cellared
naamsagkaade	cellared
naande	hued
naangan	featherlight
naaniisiiggoode	ragged
Naano-giizhgat	Weekend
naanookgwiinde	drench
naanzhe	gleam
naawkii	deep
naawkoobii	partial
naawkooshkne	partial
naawkwe	midday
naazhginde	dropped
naazhse	collapse
nagnde	valued
nagoode	tumble
nakdeksin	spaced
nakdesin	spaced
nakdeyaa	broad
nakiimgat	operate
nakiimgat	operate
nakmigat	occur
naksin	ordered
nam'aade	melody
nam'e-giizhgak	timed
Nam'e-giizhgat	Sunday
namat	lead
namat	lead
nangoonskaa	stellar
nangshkaa	wobble
nangshkaa	wobble
nawaate	gleam
nbagaa	level
nbagaabiigat	straight
nbagjiide	flat
nbagjiishkoode	compressed
nbagshkoode	compressed
nbagzidesin	puncture
nbiikaa	soggy
nbiishwan	liquid
nbiiwaagnagaa	damp
nbiiwaakot	soaked
nbiiwegat	saturated
nbiiwendaagot	rainy
nbiiwkamgaa	soggy
nbiiwshkaa	dewy
nbogkwese	wilt
nboodewat	abandoned
nboodewendaagot	forlorn
nboodewewe	sorrowful
nboodewnaagot	neglected
nboomgat	expired
nbwekse	ruin
nchiiwat	tempestuous
nchiiwmaate	foul
nchiiwnaagot	hideous
nchiiwte	chaos
ndaaboode	drift
ndaabte	fume
ndaanmat	gust
ndagoode	descend
ndawendaagot	required
nde	simmer
negbide	sneak
negsin	insert
negwakmigaa	arid
negwiikaa	dunes
nendaagot	fate
neyaashi	cape
ngo-bboon'gat	annual
ngo-dbagne	hour
ngodoon'gat	cargo
ngodoopwin'gat	load
ngodooshkne	full
ngodwewaan'gat	unit
ngon	vanish
ni-ngo-bboon'gat	future
nide	bake
nigaanaagot	shabby
nigaawendaagot	mournful
nigkogmaa	volume
nigkwaa	volume
nigokjiiyaa	volume
nigokwaa	volume
niibdesin	queue
niibin	summertime
niigaanbide	lead
niigaawendaagot	hazardous
niim'idiiwewe	rhythmic
niim'idim	festivity
niinmat	fragile
niinminaagot	frail
niisaakiiyebde	tumble
niisaakiiyekmigaa	decline
niisaakse	crumble
niisaakwaasin	demolish
niisiigiigaasin	rip
niiskaadat	blustery
niiskaangde	disarray
niiskaaznaagot	threatening
niisksin	nuisance
niisse	topple
niizaanat	peril
niizaani-yaa	peril
Niizhgiizhgat	Weekday
niizhgon'gat	elapsed
niizhik	pair
niizhwaabgonii	twins
nikaa	error
nikde	snip
nimaangde	trail
nimbide	depart
nimkiikaa	storm
Nimkodaadim	Celebration
nimkosin	prone
nimwewebde	depart
nishin	apt
nitaagot	resonate
nji-dagoode	plummet
njibde	origin
njigaa	spill
njijwan	stream
njikaamgat	source
njikaamgat	filthy
nnaa'chigaade	mend
nnaawse	settle
nnangaakne	glisten
nnangaaknese	waver
nnangbide	quiver
